interest_area,price_preference,trendiness,design_style,recipient,location,delivery_timeline,recommended_product
toys,high,mainstream,Chinese,children,USA,10,toy truck
pet-friendly,low,non-mainstream,Western,pets,Germany,3,dog leash
kitchen,medium,mainstream,Asian,neighbors,France,10,blender
dancing,high,mainstream,cute,classmates,China,7,tap shoes
cooking,low,mainstream,professional,yourself,UK,14,frying pan
outdoor,high,non-mainstream,minimalist,siblings,China,14,lantern
baby,medium,mainstream,vintage,parents,Canada,10,baby bottle
automotive,high,mainstream,monochromatic,spouse,India,10,tire cleaner
apparel,low,non-mainstream,universal,friends,Canada,14,shirt
plush,medium,non-mainstream,caricature,colleagues,India,5,plush lion
toys,high,mainstream,Chinese,children,Singapore,10,lego set
pet-friendly,low,non-mainstream,Western,pets,Canada,7,dog leash
kitchen,medium,mainstream,Asian,neighbors,Australia,10,coffee maker
dancing,high,mainstream,cute,classmates,France,10,dancing shoes
cooking,low,mainstream,professional,yourself,Canada,10,pan
outdoor,high,non-mainstream,minimalist,siblings,Singapore,10,lantern
baby,medium,mainstream,vintage,parents,China,5,baby walker
automotive,high,mainstream,monochromatic,spouse,Singapore,5,tire cleaner
apparel,low,non-mainstream,universal,friends,Australia,3,shirt
plush,medium,non-mainstream,caricature,colleagues,USA,3,plush elephant
toys,high,mainstream,Chinese,children,Canada,5,toy truck
pet-friendly,low,non-mainstream,Western,pets,UK,14,rabbit food
kitchen,medium,mainstream,Asian,neighbors,China,3,blender
dancing,high,mainstream,cute,classmates,Japan,14,jazz shoes
cooking,low,mainstream,professional,yourself,UK,5,knife set
outdoor,high,non-mainstream,minimalist,siblings,Canada,3,camping stove
baby,medium,mainstream,vintage,parents,China,14,baby walker
automotive,high,mainstream,monochromatic,spouse,UK,14,car vacuum
apparel,low,non-mainstream,universal,friends,Australia,3,shirt
plush,medium,non-mainstream,caricature,colleagues,USA,3,plush panda
toys,high,mainstream,Chinese,children,Singapore,3,lego set
pet-friendly,low,non-mainstream,Western,pets,Germany,10,fish food
kitchen,medium,mainstream,Asian,neighbors,Singapore,3,coffee maker
dancing,high,mainstream,cute,classmates,USA,3,dancing shoes
cooking,low,mainstream,professional,yourself,Canada,5,pan
outdoor,high,non-mainstream,minimalist,siblings,Canada,7,camping stove
baby,medium,mainstream,vintage,parents,Canada,3,baby swing
automotive,high,mainstream,monochromatic,spouse,Australia,10,tire cleaner
apparel,low,non-mainstream,universal,friends,China,3,t-shirt
plush,medium,non-mainstream,caricature,colleagues,USA,5,plush bear
toys,high,mainstream,Chinese,children,China,3,puzzle
pet-friendly,low,non-mainstream,Western,pets,Singapore,14,dog leash
kitchen,medium,mainstream,Asian,neighbors,Canada,14,food processor
dancing,high,mainstream,cute,classmates,Japan,3,ballet slippers
cooking,low,mainstream,professional,yourself,Canada,10,cutting board
outdoor,high,non-mainstream,minimalist,siblings,Canada,14,backpack
baby,medium,mainstream,vintage,parents,Singapore,7,baby crib
automotive,high,mainstream,monochromatic,spouse,Singapore,5,car vacuum
apparel,low,non-mainstream,universal,friends,China,5,jeans
plush,medium,non-mainstream,caricature,colleagues,Singapore,5,plush lion
toys,high,mainstream,Chinese,children,China,10,puzzle
pet-friendly,low,non-mainstream,Western,pets,China,10,bird food
kitchen,medium,mainstream,Asian,neighbors,Australia,10,blender
dancing,high,mainstream,cute,classmates,China,14,tap shoes
cooking,low,mainstream,professional,yourself,Singapore,3,cutting board
outdoor,high,non-mainstream,minimalist,siblings,Singapore,10,backpack
baby,medium,mainstream,vintage,parents,India,10,baby stroller
automotive,high,mainstream,monochromatic,spouse,USA,14,tire cleaner
apparel,low,non-mainstream,universal,friends,India,14,dress
plush,medium,non-mainstream,caricature,colleagues,Canada,5,plush elephant
toys,high,mainstream,Chinese,children,Japan,5,puzzle
pet-friendly,low,non-mainstream,Western,pets,Germany,7,fish food
kitchen,medium,mainstream,Asian,neighbors,Germany,7,coffee maker
dancing,high,mainstream,cute,classmates,Singapore,3,dancing shoes
cooking,low,mainstream,professional,yourself,China,5,cutting board
outdoor,high,non-mainstream,minimalist,siblings,UK,10,backpack
baby,medium,mainstream,vintage,parents,China,3,baby walker
automotive,high,mainstream,monochromatic,spouse,USA,10,car wax
apparel,low,non-mainstream,universal,friends,Germany,5,shirt
plush,medium,non-mainstream,caricature,colleagues,Canada,14,plush bear
toys,high,mainstream,Chinese,children,Singapore,7,toy truck
pet-friendly,low,non-mainstream,Western,pets,Singapore,3,bird food
kitchen,medium,mainstream,Asian,neighbors,Australia,14,rice cooker
dancing,high,mainstream,cute,classmates,USA,5,ballet slippers
cooking,low,mainstream,professional,yourself,Singapore,10,cutting board
outdoor,high,non-mainstream,minimalist,siblings,Canada,5,lantern
baby,medium,mainstream,vintage,parents,Canada,7,baby crib
automotive,high,mainstream,monochromatic,spouse,China,7,car vacuum
apparel,low,non-mainstream,universal,friends,China,7,shirt
plush,medium,non-mainstream,caricature,colleagues,UK,5,plush tiger
toys,high,mainstream,Chinese,children,China,10,action figure
pet-friendly,low,non-mainstream,Western,pets,Japan,14,bird food
kitchen,medium,mainstream,Asian,neighbors,UK,7,rice cooker
dancing,high,mainstream,cute,classmates,Canada,5,ballet slippers
cooking,low,mainstream,professional,yourself,UK,14,blender
outdoor,high,non-mainstream,minimalist,siblings,China,7,tent
baby,medium,mainstream,vintage,parents,Canada,7,baby walker
automotive,high,mainstream,monochromatic,spouse,Japan,10,car seat cover
apparel,low,non-mainstream,universal,friends,USA,5,jacket
plush,medium,non-mainstream,caricature,colleagues,Singapore,7,plush bear
toys,high,mainstream,Chinese,children,USA,14,robot toy
pet-friendly,low,non-mainstream,Western,pets,Japan,10,fish food
kitchen,medium,mainstream,Asian,neighbors,UK,10,coffee maker
dancing,high,mainstream,cute,classmates,China,3,tap shoes
cooking,low,mainstream,professional,yourself,India,3,spatula
outdoor,high,non-mainstream,minimalist,siblings,Germany,10,lantern
baby,medium,mainstream,vintage,parents,Japan,7,baby stroller
automotive,high,mainstream,monochromatic,spouse,France,7,tire cleaner
apparel,low,non-mainstream,universal,friends,Singapore,14,jeans
plush,medium,non-mainstream,caricature,colleagues,Canada,7,plush panda
toys,high,mainstream,Chinese,children,China,3,lego set
pet-friendly,low,non-mainstream,Western,pets,Canada,7,rabbit food
kitchen,medium,mainstream,Asian,neighbors,China,10,food processor
dancing,high,mainstream,cute,classmates,Canada,5,salsa shoes
cooking,low,mainstream,professional,yourself,China,14,blender
outdoor,high,non-mainstream,minimalist,siblings,Singapore,14,camping stove
baby,medium,mainstream,vintage,parents,Australia,14,baby stroller
automotive,high,mainstream,monochromatic,spouse,China,10,car seat cover
apparel,low,non-mainstream,universal,friends,India,7,shirt
plush,medium,non-mainstream,caricature,colleagues,India,14,plush bear
toys,high,mainstream,Chinese,children,USA,7,action figure
pet-friendly,low,non-mainstream,Western,pets,China,3,dog leash
kitchen,medium,mainstream,Asian,neighbors,Singapore,14,kettle
dancing,high,mainstream,cute,classmates,India,5,jazz shoes
cooking,low,mainstream,professional,yourself,China,10,blender
outdoor,high,non-mainstream,minimalist,siblings,USA,14,camping stove
baby,medium,mainstream,vintage,parents,Canada,10,baby bottle
automotive,high,mainstream,monochromatic,spouse,Japan,10,car polish
apparel,low,non-mainstream,universal,friends,France,3,t-shirt
plush,medium,non-mainstream,caricature,colleagues,Japan,14,plush panda
toys,high,mainstream,Chinese,children,Singapore,14,board game
pet-friendly,low,non-mainstream,Western,pets,India,14,cat food
kitchen,medium,mainstream,Asian,neighbors,Singapore,5,kettle
dancing,high,mainstream,cute,classmates,France,3,jazz shoes
cooking,low,mainstream,professional,yourself,Australia,5,spatula
outdoor,high,non-mainstream,minimalist,siblings,India,10,lantern
baby,medium,mainstream,vintage,parents,UK,3,baby stroller
automotive,high,mainstream,monochromatic,spouse,Germany,5,car polish
apparel,low,non-mainstream,universal,friends,Germany,14,jacket
plush,medium,non-mainstream,caricature,colleagues,France,5,plush tiger
toys,high,mainstream,Chinese,children,India,14,lego set
pet-friendly,low,non-mainstream,Western,pets,France,14,cat food
kitchen,medium,mainstream,Asian,neighbors,UK,7,kettle
dancing,high,mainstream,cute,classmates,Japan,5,salsa shoes
cooking,low,mainstream,professional,yourself,Canada,7,blender
outdoor,high,non-mainstream,minimalist,siblings,UK,5,backpack
baby,medium,mainstream,vintage,parents,Germany,14,baby swing
automotive,high,mainstream,monochromatic,spouse,China,10,car wax
apparel,low,non-mainstream,universal,friends,Japan,5,shirt
plush,medium,non-mainstream,caricature,colleagues,France,10,teddy bear
toys,high,mainstream,Chinese,children,UK,10,board game
pet-friendly,low,non-mainstream,Western,pets,Canada,14,dog food
kitchen,medium,mainstream,Asian,neighbors,India,10,blender
dancing,high,mainstream,cute,classmates,Japan,10,tap shoes
cooking,low,mainstream,professional,yourself,China,5,pan
outdoor,high,non-mainstream,minimalist,siblings,France,5,backpack
baby,medium,mainstream,vintage,parents,China,14,baby bottle
automotive,high,mainstream,monochromatic,spouse,Australia,5,car vacuum
apparel,low,non-mainstream,universal,friends,France,10,hoodie
plush,medium,non-mainstream,caricature,colleagues,France,10,plush panda
toys,high,mainstream,Chinese,children,India,14,action figure
pet-friendly,low,non-mainstream,Western,pets,Singapore,3,bird food
kitchen,medium,mainstream,Asian,neighbors,China,5,kettle
dancing,high,mainstream,cute,classmates,China,3,tap shoes
cooking,low,mainstream,professional,yourself,Australia,14,spatula
outdoor,high,non-mainstream,minimalist,siblings,Singapore,3,camping stove
baby,medium,mainstream,vintage,parents,Canada,14,baby monitor
automotive,high,mainstream,monochromatic,spouse,China,5,car wax
apparel,low,non-mainstream,universal,friends,Singapore,10,jacket
plush,medium,non-mainstream,caricature,colleagues,UK,7,plush elephant
toys,high,mainstream,Chinese,children,Canada,5,robot toy
pet-friendly,low,non-mainstream,Western,pets,Germany,7,dog leash
kitchen,medium,mainstream,Asian,neighbors,India,10,food processor
dancing,high,mainstream,cute,classmates,Canada,14,jazz shoes
cooking,low,mainstream,professional,yourself,India,5,blender
outdoor,high,non-mainstream,minimalist,siblings,India,7,camping stove
baby,medium,mainstream,vintage,parents,Australia,10,baby monitor
automotive,high,mainstream,monochromatic,spouse,Canada,14,car seat cover
apparel,low,non-mainstream,universal,friends,Germany,3,hoodie
plush,medium,non-mainstream,caricature,colleagues,USA,3,plush panda
toys,high,mainstream,Chinese,children,UK,14,board game
pet-friendly,low,non-mainstream,Western,pets,Japan,14,rabbit food
kitchen,medium,mainstream,Asian,neighbors,India,14,microwave
dancing,high,mainstream,cute,classmates,Canada,14,jazz shoes
cooking,low,mainstream,professional,yourself,USA,3,pan
outdoor,high,non-mainstream,minimalist,siblings,France,5,camping stove
baby,medium,mainstream,vintage,parents,Canada,10,baby crib
automotive,high,mainstream,monochromatic,spouse,France,14,tire cleaner
apparel,low,non-mainstream,universal,friends,UK,7,shirt
plush,medium,non-mainstream,caricature,colleagues,Singapore,14,plush panda
toys,high,mainstream,Chinese,children,Australia,14,board game
pet-friendly,low,non-mainstream,Western,pets,Canada,10,rabbit food
kitchen,medium,mainstream,Asian,neighbors,India,5,rice cooker
dancing,high,mainstream,cute,classmates,Canada,10,dancing shoes
cooking,low,mainstream,professional,yourself,Germany,3,knife set
outdoor,high,non-mainstream,minimalist,siblings,Singapore,5,camping stove
baby,medium,mainstream,vintage,parents,Australia,5,baby swing
automotive,high,mainstream,monochromatic,spouse,France,3,car seat cover
apparel,low,non-mainstream,universal,friends,Singapore,14,jeans
plush,medium,non-mainstream,caricature,colleagues,Japan,10,plush bear
toys,high,mainstream,Chinese,children,Singapore,14,robot toy
pet-friendly,low,non-mainstream,Western,pets,Japan,10,fish food
kitchen,medium,mainstream,Asian,neighbors,Germany,14,coffee maker
dancing,high,mainstream,cute,classmates,Japan,5,ballet slippers
cooking,low,mainstream,professional,yourself,Canada,10,pan
outdoor,high,non-mainstream,minimalist,siblings,China,14,camping stove
baby,medium,mainstream,vintage,parents,Singapore,5,baby stroller
automotive,high,mainstream,monochromatic,spouse,Australia,10,car vacuum
apparel,low,non-mainstream,universal,friends,China,10,t-shirt
plush,medium,non-mainstream,caricature,colleagues,Japan,3,plush bear
toys,high,mainstream,Chinese,children,Canada,10,board game
pet-friendly,low,non-mainstream,Western,pets,France,3,dog leash
kitchen,medium,mainstream,Asian,neighbors,France,7,coffee maker
dancing,high,mainstream,cute,classmates,UK,5,tap shoes
cooking,low,mainstream,professional,yourself,India,5,pan
outdoor,high,non-mainstream,minimalist,siblings,UK,3,lantern
baby,medium,mainstream,vintage,parents,Germany,3,baby swing
automotive,high,mainstream,monochromatic,spouse,Singapore,14,car vacuum
apparel,low,non-mainstream,universal,friends,Singapore,7,shirt
plush,medium,non-mainstream,caricature,colleagues,UK,14,plush lion
toys,high,mainstream,Chinese,children,China,14,robot toy
pet-friendly,low,non-mainstream,Western,pets,UK,3,dog leash
kitchen,medium,mainstream,Asian,neighbors,Germany,14,microwave
dancing,high,mainstream,cute,classmates,India,3,jazz shoes
cooking,low,mainstream,professional,yourself,Canada,10,pan
outdoor,high,non-mainstream,minimalist,siblings,USA,3,camping stove
baby,medium,mainstream,vintage,parents,Germany,14,baby walker
automotive,high,mainstream,monochromatic,spouse,Australia,10,car polish
apparel,low,non-mainstream,universal,friends,France,14,jeans
plush,medium,non-mainstream,caricature,colleagues,Australia,5,plush bear
toys,high,mainstream,Chinese,children,Singapore,14,lego set
pet-friendly,low,non-mainstream,Western,pets,Japan,5,bird food
kitchen,medium,mainstream,Asian,neighbors,India,10,coffee maker
dancing,high,mainstream,cute,classmates,Singapore,10,dancing shoes
cooking,low,mainstream,professional,yourself,USA,10,frying pan
outdoor,high,non-mainstream,minimalist,siblings,France,14,lantern
baby,medium,mainstream,vintage,parents,UK,10,baby stroller
automotive,high,mainstream,monochromatic,spouse,France,5,car wax
apparel,low,non-mainstream,universal,friends,Singapore,10,shirt
plush,medium,non-mainstream,caricature,colleagues,Australia,3,plush panda
toys,high,mainstream,Chinese,children,India,3,toy truck
pet-friendly,low,non-mainstream,Western,pets,Canada,14,rabbit food
kitchen,medium,mainstream,Asian,neighbors,Canada,5,rice cooker
dancing,high,mainstream,cute,classmates,Germany,14,salsa shoes
cooking,low,mainstream,professional,yourself,Japan,5,pan
outdoor,high,non-mainstream,minimalist,siblings,Australia,5,lantern
baby,medium,mainstream,vintage,parents,Japan,7,baby monitor
automotive,high,mainstream,monochromatic,spouse,USA,14,car wax
apparel,low,non-mainstream,universal,friends,Germany,5,jacket
plush,medium,non-mainstream,caricature,colleagues,Australia,10,plush panda
toys,high,mainstream,Chinese,children,Germany,14,lego set
pet-friendly,low,non-mainstream,Western,pets,UK,3,rabbit food
kitchen,medium,mainstream,Asian,neighbors,China,3,rice cooker
dancing,high,mainstream,cute,classmates,Canada,10,jazz shoes
cooking,low,mainstream,professional,yourself,India,14,blender
outdoor,high,non-mainstream,minimalist,siblings,Japan,7,lantern
baby,medium,mainstream,vintage,parents,Germany,10,baby crib
automotive,high,mainstream,monochromatic,spouse,Germany,3,car vacuum
apparel,low,non-mainstream,universal,friends,Australia,10,jacket
plush,medium,non-mainstream,caricature,colleagues,China,3,plush elephant
toys,high,mainstream,Chinese,children,France,5,robot toy
pet-friendly,low,non-mainstream,Western,pets,Singapore,10,fish food
kitchen,medium,mainstream,Asian,neighbors,Germany,5,food processor
dancing,high,mainstream,cute,classmates,France,14,dancing shoes
cooking,low,mainstream,professional,yourself,China,7,knife set
outdoor,high,non-mainstream,minimalist,siblings,Canada,5,camping stove
baby,medium,mainstream,vintage,parents,Singapore,10,baby crib
automotive,high,mainstream,monochromatic,spouse,Australia,14,car vacuum
apparel,low,non-mainstream,universal,friends,India,7,dress
plush,medium,non-mainstream,caricature,colleagues,Canada,3,plush tiger
toys,high,mainstream,Chinese,children,India,5,toy truck
pet-friendly,low,non-mainstream,Western,pets,Australia,7,dog food
kitchen,medium,mainstream,Asian,neighbors,India,5,kettle
dancing,high,mainstream,cute,classmates,Singapore,10,salsa shoes
cooking,low,mainstream,professional,yourself,Australia,7,blender
outdoor,high,non-mainstream,minimalist,siblings,Germany,14,backpack
baby,medium,mainstream,vintage,parents,USA,7,baby walker
automotive,high,mainstream,monochromatic,spouse,Germany,5,tire cleaner
apparel,low,non-mainstream,universal,friends,Germany,7,jeans
plush,medium,non-mainstream,caricature,colleagues,Japan,10,teddy bear
toys,high,mainstream,Chinese,children,Singapore,7,action figure
pet-friendly,low,non-mainstream,Western,pets,Singapore,10,bird food
kitchen,medium,mainstream,Asian,neighbors,Singapore,14,food processor
dancing,high,mainstream,cute,classmates,USA,5,dancing shoes
cooking,low,mainstream,professional,yourself,UK,3,cutting board
outdoor,high,non-mainstream,minimalist,siblings,Japan,10,backpack
baby,medium,mainstream,vintage,parents,Canada,10,baby walker
automotive,high,mainstream,monochromatic,spouse,USA,14,car vacuum
apparel,low,non-mainstream,universal,friends,Germany,7,t-shirt
plush,medium,non-mainstream,caricature,colleagues,Canada,7,plush elephant
toys,high,mainstream,Chinese,children,Singapore,7,robot toy
pet-friendly,low,non-mainstream,Western,pets,France,7,dog food
kitchen,medium,mainstream,Asian,neighbors,Japan,14,blender
dancing,high,mainstream,cute,classmates,India,7,jazz shoes
cooking,low,mainstream,professional,yourself,France,10,pan
outdoor,high,non-mainstream,minimalist,siblings,UK,10,camping stove
baby,medium,mainstream,vintage,parents,Singapore,14,baby walker
automotive,high,mainstream,monochromatic,spouse,Japan,14,car wax
apparel,low,non-mainstream,universal,friends,Germany,10,t-shirt
plush,medium,non-mainstream,caricature,colleagues,France,5,plush bear
toys,high,mainstream,Chinese,children,Singapore,14,lego set
pet-friendly,low,non-mainstream,Western,pets,Canada,5,dog leash
kitchen,medium,mainstream,Asian,neighbors,India,7,coffee maker
dancing,high,mainstream,cute,classmates,USA,10,dancing shoes
cooking,low,mainstream,professional,yourself,Canada,5,cutting board
outdoor,high,non-mainstream,minimalist,siblings,Singapore,7,tent
baby,medium,mainstream,vintage,parents,France,7,baby stroller
automotive,high,mainstream,monochromatic,spouse,Germany,14,tire cleaner
apparel,low,non-mainstream,universal,friends,China,5,t-shirt
plush,medium,non-mainstream,caricature,colleagues,UK,3,plush tiger
toys,high,mainstream,Chinese,children,India,10,puzzle
pet-friendly,low,non-mainstream,Western,pets,Japan,3,rabbit food
kitchen,medium,mainstream,Asian,neighbors,UK,5,rice cooker
dancing,high,mainstream,cute,classmates,USA,3,jazz shoes
cooking,low,mainstream,professional,yourself,Australia,7,cutting board
outdoor,high,non-mainstream,minimalist,siblings,India,10,backpack
baby,medium,mainstream,vintage,parents,Australia,14,baby monitor
automotive,high,mainstream,monochromatic,spouse,Australia,5,car vacuum
apparel,low,non-mainstream,universal,friends,India,3,jacket
plush,medium,non-mainstream,caricature,colleagues,Canada,10,teddy bear
toys,high,mainstream,Chinese,children,India,3,puzzle
pet-friendly,low,non-mainstream,Western,pets,Canada,7,dog leash
kitchen,medium,mainstream,Asian,neighbors,USA,14,coffee maker
dancing,high,mainstream,cute,classmates,Japan,5,jazz shoes
cooking,low,mainstream,professional,yourself,France,7,knife set
outdoor,high,non-mainstream,minimalist,siblings,UK,10,lantern
baby,medium,mainstream,vintage,parents,Australia,10,baby crib
automotive,high,mainstream,monochromatic,spouse,UK,10,car wax
apparel,low,non-mainstream,universal,friends,UK,7,jacket
plush,medium,non-mainstream,caricature,colleagues,China,10,plush panda
toys,high,mainstream,Chinese,children,Singapore,14,board game
pet-friendly,low,non-mainstream,Western,pets,Germany,7,dog food
kitchen,medium,mainstream,Asian,neighbors,USA,3,microwave
dancing,high,mainstream,cute,classmates,Germany,7,dancing shoes
cooking,low,mainstream,professional,yourself,USA,10,frying pan
outdoor,high,non-mainstream,minimalist,siblings,UK,3,lantern
baby,medium,mainstream,vintage,parents,Canada,7,baby stroller
automotive,high,mainstream,monochromatic,spouse,Germany,7,car wax
apparel,low,non-mainstream,universal,friends,UK,10,shirt
plush,medium,non-mainstream,caricature,colleagues,Canada,3,teddy bear
toys,high,mainstream,Chinese,children,Singapore,10,puzzle
pet-friendly,low,non-mainstream,Western,pets,Australia,5,cat food
kitchen,medium,mainstream,Asian,neighbors,China,5,kettle
dancing,high,mainstream,cute,classmates,Japan,14,tap shoes
